,Video Type 1,,,Video Type 2,,,Video Type 3,,,Video Type 4,,,Video Type 5,,,Video Type 6,,,Video Type 7,,,Video Type 8,,,Video Type 9,,,Video Type 10,,,Video Type 11,,,Video Type 12,,,Video Type Duplicate 1,,,Video Type Duplicate 2,,
,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,14-Revoke,200,nada (just said end of video for time),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Values,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,15,70.5,Left Wheel Zero,51,70.7,Prox Sensor Random,9,16.4,Left Wheel Zero,49,76.6,Prox Sensor Random,0,65,Left Wheel Zero,18,56.2,Left Wheel Zero,7,30.3,Prox Sensor Random,43,5.9,Prox Sensor Random,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3,32.3,Left Wheel Zero,33,38.4,Left Wheel Zero,9,14.8,Prox Sensor Random,16,37.1,Prox Sensor Random,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 12,Seed 119,Exp 9,,Seed 123,Exp 3,,Seed 116,Exp 6,,Seed 124,Exp 10,,Seed 155,Exp 4,,Seed 141,Exp 12,,Seed 152,Exp 2,,Seed 146,Exp 7,,Seed 221,Exp 5,,Seed 251,Exp 11,,Seed 228,Exp 1,,Seed 238,Exp 8,,,,,,,
Guesses,2,20,nada,3,39,nada,11,30,nada,51,50,nada,3,13,nada,62,90,nada,13,38,nada,5,30,nada,10,47,nada,54,55,nada,4,30,Stuck,14,46,nada,,,,,,
,8,30,nada,37,56,nada,9,50,nada,12,58,nada,8,20,nada,17,90,nada,10,38,nada,26,75,nada,1,68,nada,19,113,nada,11,30,Stuck,37,46,nada,,,,,,
,11,90,nada,6,75,nada,9,100,nada,39,70,nada,11,30,nada,42,90,nada,14,70,nada,31,75,nada,4,80,nada,55,120,nada,4,45,nada,45,79,nada,,,,,,
,12,180,nada,25,100,nada,8,120,nada,51,140,nada,12,30,nada,53,105,nada,13,84,nada,0,85,nada,4,200,"nada (Looks like they added a fuzzy 4 before the cleanly written one [looked like 44], there's only 16 robots so probs a mistake)",,,,11-Revoke,nada,nada,15,150,nada,,,,,,
,,,,38,150,nada,7,120,nada,2,180,nada,15,56,nada,30,105,nada,0,84,nada,22,85,nada,,,,,,,8,50,nada,,,,,,,,,
,,,,20,160,nada,,,,57,180,nada,1,65,nada,54,150,nada,3,100,nada,15,90,nada,,,,,,,14,75,nada,,,,,,,,,
,,,,55,170,nada,,,,,,,3,140,nada,27,150,nada,4,100,nada,27,90,nada,,,,,,,2,100,nada,,,,,,,,,
,,,,,,,,,,,,,14,160,nada,7,150,nada,2,124,nada,40,141,nada,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,160,nada,48,150,nada,,,,29,141,nada,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
